MLS,status,CurrListPrice,ListDate,StreetAddress,StreetName,StreetSuffix,City,State,ZIP,Area,Bedrooms,Bathrooms,SquareFootage,LotSize,Remarks,YearBuilt,Type
13014348,A,198000.00,2013-03-18,16381,Oak,Street,Decatur,MI,49045,Southwestern Michiga,3,2.00,1421.00,0.1600,"This attractive home is situated in the bank overlooking Finch Lake - Finch Lake is interconnected with 3 other lakes which are all accessable without getting out of your boat! 3 bedrooms, 2 full baths and a full basement. Additional Guest House located at the lake front! Everything is included except the Master Bedroom Set Day Bed in small bedroom, Kitchen Set, Skonces and wall hangings. Pontoon with 40hp Mariner engine, aluminum fishing boat and paddle boat are all included. This is certainly a must see.",2001,Residential
14034960,A,54900.00,2014-06-18,383,Burney,"",Marcellus,MI,49067,St. Joseph County,3,1.00,1395.00,0.4000,This is a great starter home. All new dry wall and flooring. Good size home on a double lot with a fenced in back yard. Two car detached garage on a corner lot. This house has a lot of potential.,1930,Residential
14036958,A,145000.00,2014-06-30,4541,Huntoon,Avenue,Watervliet,MI,49098,Southwestern Michiga,3,2.00,1375.00,1.3700,This well kept country ranch home is situated on over 1.3 acres of land and just .8 of a mile from popular Paw Paw Paw Lake. The home is completely maintenance free. The roof is only 5 years old! Fresh paint and floor coverings throughout including tiled and grouted kitchen and bathroom floors (2013). 2 car attached garage. Vacant and ready to move in! This property is owned by a licensed Real Estate Broker.,1993,Residential
13061414,P,95000.00,2013-10-14,14687,Elm,Drive,Marcellus,MI,49067,St. Joseph County,2,1.00,864.00,0.4700,"BIG FISH LAKE ACCESS What a Nice Cottage with so much to offer. Large living room w/limestone fireplace, eat in kitchen w/nice oak cabinets, 2 bedrooms. Roof, vinyl siding & replacement windows new in 2010. Two car garage W/workshop. 12'x16' Bunkhouse. Nice deck & patio, landscaped yard. Just steps to lake access on all sports lake. Included: Range, Refrigerator, Dining Table & Chairs and Microwave.",1950,Residential
13055769,P,289000.00,2013-09-19,10342,Hoffman,Road,Marcellus,MI,49067,St. Joseph County,6,3.00,2450.00,44.7000,Beautiful home on a stunning 44+/-acre parcel near several premier all-sport lakes and Swiss Valley Ski Resort. Would make a great corporate retreat; resort; B&B; group home; place for horses. The land is wooded and rolling & has 2 ponds. Wildlife galore. Great deer & small game hunting. The 1.5 story traditional boasts 6 lg. BRs & 2.5 Baths. The large kitchen shines with a generous # of new custom cherry cabinets and a solid surface counter. The FR has a charming stone FP (not operational) and opens to the kitchen for easy entertaining. The main level also offers a lg. formal LR; separate DR and a gorgeous open staircase from the spacious foyer. The upper level features include a lg. master suite w/the remainder of the BRs sharing a full bath. The walk in attic could be an additional BR. ,1971,Residential
14010020,P,220000.00,2014-03-07,51766,Steininger,Road,Marcellus,MI,49067,St. Joseph County,3,3.00,1961.00,1.5000,"This 4 or 5 bedroom, 3 bath home built in 2005 is just a stone throw from Big Fish Lake. This looks like a showplace with several roof line changes and built on top of a hill with great country views out of the kitchen bow window. 9 ft. ceilings on the main floor! 3 bedrooms up with 2 full baths. 14X14 Sun-room with hickory ceiling, lots of windows and indirect lighting. Full finished basement (with the exception of the mechanical room)with 9'walls. Basement bedroom would be a perfect den. The basement workout room could be the 5th bedroom. Huge Rec room (32 X 27)! Walk-out is located where the planned wet bar or entertainment area is. Raised-roofed front porch and 2nd story back deck with all composite decking. Gorgeous cultured stone foundation. 3 car attached garage - fully insulated a",2005,Residential
2702444,A,139900.00,2007-01-15,1,Robin Way,"",Marcellus,MI,49067,St. Joseph County,"","","",1.6900,"Beautiful Hemlock lake lots. Hemlock lake is a 90 foot deep spring fed lake where divers from all over come to witness the crystal clear waters. Every lot has a white sand beach! Every lot is suitable for walk-out basements.What a view of the lake from the top of the hillside lot. Lots have scattered Beach, Ash, and rare Hemlocks mature trees. Backlots being 1/2 acre and larger are being sold simultaneously with the lake front lot. Don't miss this opportunity. Lakefront lot #1 and Back lot #1 (1.34 acres) included.","",Vacant Land
2716552,A,139900.00,2007-04-13,2,Robin Way,"",Marcellus,MI,49067,St. Joseph County,"","","",1.1200,"Beautiful Hemlock lake lots. Hemlock lake is a 90 foot deep spring fed lake where divers from all over come to witness the crystal clear waters. Every lot has a white sand beach! Every lot is suitable for a walk-out basement. Hillside lots with scattered Beach, Ash, and rare Hemlocks. Backlots being 1/2 acre and larger are being sold simultaneously with the lake front lot. Don't miss this opportunity. Lakefront lot #2 and Backlot #2","",Vacant Land
2716564,A,139900.00,2007-04-13,3,Robin Way,"",Marcellus,MI,49067,St. Joseph County,"","","",0.9500,"Beautiful Hemlock lake lots. Hemlock lake is a 90 foot deep spring fed lake where divers from all over come to witness the crystal clear waters. Every lot has a white sand beach! Every lot offers walkout basement possibilities. Hillside lots with scattered Beach, Ash, and rare Hemlocks. Backlots being 1/2 acre and larger are being sold simultaneously with the lake front lot. Don't miss this opportunity. Lakefront lot #3 and Backlot #3","",Vacant Land
2716571,A,139900.00,2007-04-13,4,Robin Way,"",Marcellus,MI,49067,St. Joseph County,"","","",0.9600,"Beautiful Hemlock lake lots. Hemlock lake is a 90 foot deep spring fed lake where divers from all over come to witness the crystal clear waters. Every lot has a white sand beach! Every lot is suitable for a walk-out basement.What a veiw of the lake from the top of the hill! Hillside lots have scattered Beach, Ash, and rare Hemlock mature trees. Backlots being 1/2 acre and larger are included with the purchase of a lake front lot. Don't miss this opportunity. Lakefront lot #4 and Backlot #4","",Vacant Land
10049626,A,14900.00,2010-10-12,1,Ryan,Road,Marcellus,MI,49067,St. Joseph County,"","","",0.5700,"BLUEBIRD MANOR - A NEW SUBDIVISION! 3 OF THE 12 AVAILABLE LOTS HAVE ALREADY BEEN SOLD! JUST A STONE THROW FROM TOWN, BUT IN THE COUNTRY. STICK BUILT OR BOCA MODULARS ONLY. NO TITLED (HUD) HOMES. ASK FOR THE COVENANTS AND RESTRICTIONS. The Owner of the Subdivision is a licensed real estate broker.","",Vacant Land
10049631,A,19900.00,2010-10-12,2,Ryan,Road,Marcellus,MI,49067,St. Joseph County,"","","",0.5700,"BLUEBIRD MANOR - A NEW SUBDIVISION! 3 OF THE 12 AVAILABLE LOTS HAVE ALREADY BEEN SOLD! JUST A STONE THROW FROM TOWN, BUT IN THE COUNTRY. STICK BUILT OR BOCA MODULARS ONLY. NO TITLED (HUD) HOMES. ASK FOR THE COVENANTS AND RESTRICTIONS. THERE IS AN EXISTING 4 IN WELL ON THIS LOT. The owner of the subdivision is a licensed real estate broker.","",Vacant Land
10049636,A,14900.00,2010-10-12,3,Ryan,Road,Marcellus,MI,49067,St. Joseph County,"","","",0.5900,"BLUEBIRD MANOR - A NEW SUBDIVISION! 3 OF THE 12 AVAILABLE LOTS HAVE ALREADY BEEN SOLD! JUST A STONE THROW FROM TOWN, BUT IN THE COUNTRY. STICK BUILT OR BOCA MODULARS ONLY. NO TITLED (HUD) HOMES. ASK FOR THE COVENANTS AND RESTRICTIONS. The owner of the subdivision is a lincensed real estate broker.","",Vacant Land
10049643,A,17900.00,2010-10-12,4,Ryan,Road,Marcellus,MI,49067,St. Joseph County,"","","",0.7500,"BLUEBIRD MANOR - A NEW SUBDIVISION! 3 OF THE 12 AVAILABLE LOTS HAVE ALREADY BEEN SOLD! JUST A STONE THROW FROM TOWN, BUT IN THE COUNTRY. STICK BUILT OR BOCA MODULARS ONLY. NO TITLED (HUD) HOMES. ASK FOR THE COVENANTS AND RESTRICTIONS. The owner of the subdivision is a licensed real estate broker.","",Vacant Land
10049651,A,15900.00,2010-10-12,10,Ryan,Road,Marcellus,MI,49067,St. Joseph County,"","","",0.7600,"BLUEBIRD MANOR - A NEW SUBDIVISION! 3 OF THE 12 AVAILABLE LOTS HAVE ALREADY BEEN SOLD! JUST A STONE THROW FROM TOWN, BUT IN THE COUNTRY. STICK BUILT OR BOCA MODULARS ONLY. NO TITLED (HUD) HOMES. ASK FOR THE COVENANTS AND RESTRICTIONS. The owner of the subdivision is a licensed real estate broker.","",Vacant Land
10049657,A,14900.00,2010-10-12,11,Ryan,Road,Marcellus,MI,49067,St. Joseph County,"","","",0.6600,"BLUEBIRD MANOR - A NEW SUBDIVISION! 3 OF THE 12 AVAILABLE LOTS HAVE ALREADY BEEN SOLD! JUST A STONE THROW FROM TOWN, BUT IN THE COUNTRY. STICK BUILT OR BOCA MODULARS ONLY. NO TITLED (HUD) HOMES. ASK FOR THE COVENANTS AND RESTRICTIONS. The owner of the subdivision is a licensed real estate broker.","",Vacant Land
10049662,A,14900.00,2010-10-12,12,Ryan,Road,Marcellus,MI,49067,St. Joseph County,"","","",0.6400,"BLUEBIRD MANOR - A NEW SUBDIVISION! 3 OF THE 12 AVAILABLE LOTS HAVE ALREADY BEEN SOLD! JUST A STONE THROW FROM TOWN, BUT IN THE COUNTRY. STICK BUILT OR BOCA MODULARS ONLY. NO TITLED (HUD) HOMES. ASK FOR THE COVENANTS AND RESTRICTIONS. The owner of the subdivision is a licensed real estate broker.","",Vacant Land
13051713,A,19700.00,2013-08-29,10481,Cranberry Lake,Road,Marcellus,MI,49067,St. Joseph County,"","","",2.0000,Realtor Owned. 2 Acre Wooded Rolling Building Site Located In Rural Twp Setting And In Marcellus School Systems. Almost Any Style Home Is Compatable With The Lay Of The Land (Walk-outs Included). Plenty Of Deer And Other Wild Game Around! This Parcel Is Has 264 Ft Of Road Frontage. Driveway already completed - what a pretty spot! Manufactured Homes Are Ok! Single Wides Are Now Allowed Due To Deed Restrictions. Ask Koshar Realty About A -land Home Package- We Are Licensed Manufactured Housing Dealers And Licensed Residential Builders. Land Contract Terms Are Available.,"",Vacant Land
13066145,A,8900.00,2013-11-22,"",Macdougall,Drive,Allegan,MI,49010,Holland/Saugatuck,"","","",0.5000,"1/2 Acre wooded lot! Surrounded by 45,000 acres of State Game Lands!! Stone throw away from Swan Creek State Park and Lake Allegan. this is one of several lots Availabe in Aspen Acres. Good sandy soils. Ask Koshar Realty about Boca Modular Housing. We are licensed builders and Manufactured Housing Dealers. Great Hunting. the roads in Aspen Acres are private and not county maintained. The Township collects $50.00 per lot per year for road maintanance which is included in the mentioned annual tax amount","",Vacant Land
13066170,A,19700.00,2013-11-22,90942,52nd,Street,Decatur,MI,49045,Southwestern Michiga,"","","",4.6700,"THIS IS A 4.67 ACRE WOODED BUILDING SITE. THIS PARCEL IS SUITABLE FOR WALK-OUT BASEMENT. SURVEY AND HEALTH DEPARTMENT PERK TESTS HAVE BEEN COMPLETED. BLACKTOP ROAD FRONTAGE. HUD, BOCA MODULARS AND STICK BUILT HOMES ARE ALL ALLOWED PROVIDED THERE IS A CONTINUAL WIDTH OF AT LEAST 24 FEET (DEED RESTRICTION). OWNER WILL ACCEPT LAND CONTRACT TERMS. DRIVEWAY HAS BEEN INSTALLED AND PARTIAL OPENING EXCAVATED. THE SELLER IS A LICENSED REAL ESTATE BROKER.","",Vacant Land
14005594,A,59900.00,2014-02-03,24256,Gage,Street,Dowagiac,MI,49047,Southwestern Michiga,"","","",12.0000,"12 Country Acres with so much to offer. Great building site, drive way is in. There is a l6'x36' carport on the propert. 6 acres are cleared and tillable with 6 acres wooded. This is the kind of acerage everyone is looking for.","",Vacant Land
14016345,A,89000.00,2014-04-08,15809,M-60,"",Vandalia,MI,49095,St. Joseph County,"","","",3.6500,"Right on State Highway M-60!!What a great business location. The present owner has been running a pontoon renovation business. The 35 X 54 pole constructed building would lend it's self well to a multitude of applications. 3.65 acres. 416 ft of road frontage. The driveway is gated. The 1 year old building has a security system, full concrete floor and 200 amp electrical service. Priced to sell at $89,000.","",Vacant Land
14020287,P,48900.00,2014-04-28,51662,Steininger,"",Marcellus,MI,49067,St. Joseph County,"","","",1.0000,Pole building on one acre of land located less than one mile from Big Fish Lake and the Chain of Lakes. Perfect place for extra storage!,"",Vacant Land
14016858,A,79900.00,2014-04-08,15809,M-60,"",Vandalia,MI,49095,St. Joseph County,"","",1890.00,3.6500,"Right on State Highway M-60!!What a great business location. The present owner has been running a pontoon renovation business. The 35 X 54 pole constructed building would lend it's self well to a multitude of applications. 3.65 acres. 416 ft of road frontage. The driveway is gated. The 1 year old building has a security system, full concrete floor and 200 amp electrical service. Priced to sell at $89,000.",2012,Commercial Sale
13064518,A,297000.00,2013-11-11,496,Main,Street,Marcellus,MI,49067,St. Joseph County,"","","",0.7700,"EXCELLENT LOCATION CORNER M-216 & M-40 NORTH.PRESENTLY SEASONAL ICE CREAM,PIZZA, SANDWICH SHOP.WALKING DISTANCE TO SCHOOLS. 10 YEAR OLD BUILDING,& FULLY EQUIPTED ALL IN VERY GOOD CONDITION.THIS IS A GREAT BUSINESS WITH EVEN MORE POTENTIAL. SELLER IS LICENSED REALTOR",1997,Commercial Sale
